Which of these areas of solar physics do you work in? Check all that apply.,How would you describe the stage of your career?,What country is your institution in?,Do you self-identify as one or more underrepresented minorities in solar physics? This question is optional.,Do you self-identify as a unrepresented gender identity in Solar Physics? This question is optional.,Do you use software in your research?,Have you had formal training in programming?,Which of the following statements is most applicable to you?,Which of the following have you personally utilized in your work within the last year?,Have you cited software papers in your published research?,Why haven’t you cited software in your research?,On which of these have you run software for solar-physics research?
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",Italy,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Python, SunPy, Shell scripting, Fortran",Sometimes,,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),Graduate student,United Kingdom,No,No,No,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, HTML/CSS, Github (or similar)",No,I do not think software belongs in citations,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,IDL,No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",France,No,No,Yes,No,I write mostly my own software.,"Python, MATLAB",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),Graduate student,United States,Yes,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"MATLAB, Mathematica",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, Python, Fortran, Github (or similar)",Yes,,Shared workstation
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Germany,,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, C++, Perl, MATLAB, R, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Instrument developer,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Java, Spreadsheets (e.g. Excel), Mathematica, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, SunPy, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Commercial cloud"
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Brazil,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, C, IRAF",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, C, Perl, HTML/CSS, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Theory, Instrumentation",Postdoc,United States,Yes,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, R, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Fortran, HTML/CSS",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Fortran",Sometimes,,Shared workstation
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, Fortran, Java, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, C, Fortran, Perl, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting",Yes,,"Laptop / Desktop computer, Local Cluster, GPU"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, Fortran, MATLAB, R, HTML/CSS",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, HTML/CSS",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
Numerical Simulations,"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, C, C++, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Instrumentation",Instrument developer,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, C++, Perl, Javascript, Java, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
"Numerical Simulations, Theory",Postdoc,Spain,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Shell scripting, Fortran, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, MATLAB, Spreadsheets (e.g. Excel)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, C, Perl, MATLAB, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Postdoc,Germany,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Ground-Based),Graduate student,United States,No,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
Numerical Simulations,Graduate student,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, MPI",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Shell scripting, HTML/CSS",Yes,,Laptop / Desktop computer
Numerical Simulations,Postdoc,Germany,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Shell scripting, Fortran, MATLAB, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Japan,,,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, C, Spreadsheets (e.g. Excel)",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation, GPU"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Italy,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,Spain,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python",No,I do not think software belongs in citations,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Ground-Based), Instrumentation",Software developer,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"Python, SunPy, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United Kingdom,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, SunPy, Fortran, MATLAB, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",India,,,Yes,No,Somewhere in between.,"IDL, SolarSoft",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",India,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"MATLAB, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Spreadsheets (e.g. Excel), Github (or similar)",No,I do not think software belongs in citations,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",India,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,MATLAB,Sometimes,,Laptop / Desktop computer
"Observational (Ground-Based), Numerical Simulations",Graduate student,India,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Fortran",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Fortran, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Italy,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,India,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, C, IRAF, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, MATLAB, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",France,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, C++, Fortran, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, Spreadsheets (e.g. Excel), MPI, Github (or similar), maple",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Taiwan,Yes,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, C, Fortran",Sometimes,,Laptop / Desktop computer
Theory,Graduate student,India,,,Yes,No,I write mostly my own software.,Mathematica,Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Graduate student,Switzerland,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Spreadsheets (e.g. Excel), MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
"Numerical Simulations, Theory",Graduate student,India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Fortran, Mathematica, MPI, Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Graduate student,Japan,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Fortran",No,I do not think software belongs in citations,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Theory","Part time PhD student in Computational Astrophysics, with a full time job as a software developer",India,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, Spreadsheets (e.g. Excel), Github (or similar)",No,,Laptop / Desktop computer
"Observational (Space-Based), Theory","Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting, C, Fortran, MATLAB, Mathematica, MPI",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),Graduate student,India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Spreadsheets (e.g. Excel)",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Ground-Based),"Faculty, Staff Scientist, Researcher",India,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, C, C++",Yes,,Laptop / Desktop computer
Observational (Space-Based),Ph.D,India,Yes,Yes,Yes,No,Somewhere in between.,"IDL, SolarSoft",Sometimes,,Laptop / Desktop computer
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",India,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Fortran",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Javascript, R, SQL, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster, GPU"
Numerical Simulations,Graduate student,Hungary,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Python, SunPy, C++, Fortran, MATLAB, Mathematica",Sometimes,,Laptop / Desktop computer
"Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Slovakia,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Yes,,Shared workstation
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Graduate student,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, SunPy, Shell scripting, Fortran, Julia, MATLAB, Spreadsheets (e.g. Excel), MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Observational (Space-Based), Theory",Postdoc,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",India,,,No,No,Somewhere in between.,Spreadsheets (e.g. Excel),No,I do not think it is necessary,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",India,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, MATLAB",Sometimes,,Laptop / Desktop computer
Theory,Graduate student,India,,,No,No,Somewhere in between.,MATLAB,No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Numerical Simulations, Theory",Graduate student,United Kingdom,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, Fortran, MATLAB, HTML/CSS, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,Switzerland,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Fortran, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"MATLAB, Spreadsheets (e.g. Excel)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,Yes,Yes,No,I mostly use software written by others.,"IDL, SolarSoft, Python, Java",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Taiwan,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I mostly use software written by others.,"IDL, SolarSoft, Shell scripting",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations, Theory",Graduate student,Japan,,,Yes,No,Somewhere in between.,"IDL, SolarSoft, Fortran",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Postdoc,India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft",Yes,,"Laptop / Desktop computer, Local Cluster"
Theory,"Faculty, Staff Scientist, Researcher",India,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,MATLAB,No,I do not think software belongs in citations,Laptop / Desktop computer
"Numerical Simulations, Theory",Postdoc,United Arab Emirates,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Python, Shell scripting, C, Fortran, Julia, Mathematica, MPI, Github (or similar)",No,I do not think software belongs in citations,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Sweden,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, C++, Fortran, MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Theory","Faculty, Staff Scientist, Researcher",Greece,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, Fortran",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Indonesia,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, SunPy, C, IRAF, Spreadsheets (e.g. Excel), Mathematica, Github (or similar)",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Indonesia,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"SolarSoft, Python, SunPy, MATLAB",Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Postdoc,Hungary,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Fortran, MATLAB",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,India,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, MATLAB, Java, Spreadsheets (e.g. Excel)",No,I am not sure how to appropriately cite software,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Japan,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation"
"Observational (Ground-Based), Numerical Simulations",Graduate student,United Kingdom,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Ground-Based),Graduate student,Brazil,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, SunPy, Shell scripting, Mathematica",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Japan,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft",No,I am not sure how to appropriately cite software,Shared workstation
"Observational (Space-Based), Numerical Simulations",Graduate student,United Kingdom,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, Shell scripting",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",China,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Fortran, IRAF, Javascript, Java, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Commercial cloud"
"Observational (Space-Based), Instrumentation",Retired,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Javascript, HTML/CSS, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Julia, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster, Commercial cloud"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, HTML/CSS, Mathematica, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Regional or National Cluster, Commercial cloud"
Observational (Space-Based),Postdoc,United States,No,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Instrumentation",Software developer,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Shell scripting, Javascript, Java, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Theory,"Faculty, Staff Scientist, Researcher",India,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"C, Fortran, R, Mathematica",Sometimes,,Local Cluster
"Observational (Space-Based), Instrumentation","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, Shell scripting, C, Fortran, Perl, SQL, HTML/CSS, MPI",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Retired,United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"C, R, HTML/CSS, Spreadsheets (e.g. Excel), COBOL",No,I do not think software belongs in citations,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"Shell scripting, C, SQL",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster"
